date,tokens_in,tokens_out,cache_read,cache_create,total_tokens,cost_in,cost_out,cost_cache_read,cost_cache_create,total_cost,pct_in,pct_out,pct_cache
2025-11-13,13063,166424,18842908,1394267,20416662,0.0392,2.4964,5.6529,5.2285,13.39,1.5,55.5,628.1
2025-11-14,22223,185250,24816417,2257786,27281676,0.0667,2.7788,7.4449,8.4667,18.74,2.5,61.8,827.2
2025-11-15,43786,168350,25089929,2096877,27398942,0.1314,2.5252,7.527,7.8633,18.01,4.9,56.1,836.3
2025-11-16,17178,198341,29093278,2072723,31381520,0.0515,2.9751,8.728,7.7727,19.52,1.9,66.1,969.8
2025-11-17,11894,164400,19717657,2213330,22107281,0.0357,2.466,5.9153,8.3,16.71,1.3,54.8,657.3
2025-11-23,8169,156254,31407437,2088326,33660186,0.0245,2.3438,9.4222,7.8312,19.62,0.9,52.1,1046.9
2025-11-24,32301,109557,51270286,4623208,56035352,0.0969,1.6434,15.3811,17.337,34.45,3.6,36.5,1709.0
2025-11-25,45916,136091,110246218,8920870,119349095,0.1377,2.0414,33.0739,33.4533,70.78,5.1,45.4,3674.9
2025-11-26,27291,24381,78112212,8172191,86336075,0.0819,0.3657,23.4337,30.6457,90.48,3.0,8.1,2603.7
2025-11-27,118850,151551,152404293,10170229,162844923,0.3565,2.2733,45.7213,38.1384,144.01,13.2,50.5,5080.1
2025-11-28,39652,286808,137087887,7158871,144573218,0.119,4.3021,41.1264,26.8458,120.38,4.4,95.6,4569.6
2025-11-29,52184,237167,136364075,8317117,144970543,0.1566,3.5575,40.9092,31.1892,123.89,5.8,79.1,4545.5
2025-11-30,12079,64012,36857187,2537142,39470420,0.0362,0.9602,11.0572,9.5143,35.48,1.3,21.3,1228.6
2025-12-01,37414,75693,30685315,1998231,32796653,0.1122,1.1354,9.2056,7.4934,28.69,4.2,25.2,1022.8
2025-12-02,31291,102081,69929579,7044858,77107809,0.0939,1.5312,20.9789,26.4182,81.68,3.5,34.0,2331.0
2025-12-03,88517,263118,147797316,10210439,158359390,0.2656,3.9468,44.3392,38.2891,144.73,9.8,87.7,4926.6
